Compound,Compound ID,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Link,Description,Neutral mass (Da)_x,m/z_x,Retention time (min)_x,Neutral mass (Da)_y,m/z_y,Retention time (min)_y,Chromatographic peak width (min),Identifications,1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2,categoria_quimica,metabolismo,tipo_composto,pubchem_cid,formula,massa_api,iupac,uso_descricao,chebi_id,chebi_nome,ontologia,chebi_definicao,modo_ionizacao,media,std,cv,media_log,media_norm,score_norm,metadata_ok,cv_norm,estabilidade,frag_norm,isotope_norm,confianca
9.03_174.0135n,CSID10498074,"M-H, 2M-H",C2H2N6O4,38.8,0.0733,-1.41466945938355,95.6450866119548,http://nonlinear.com/redirect/outbound?p=chemspider&param=10498074,"3-amino-6-nitro-1,2,4,5-tetrazine 2,4-dioxide",174.013506828058,173.006230396058,9.03026666666667,174.013506828058,173.006230396058,9.03026666666667,0.234816666666667,11,932.758890692369,597.247379931579,549.004023219198,404.63368726206,1474.5572105771,1115.18873886288,427.327384147463,323.909780346772,574.477691948557,454.55181109552,518.729706232212,404.787509891981,Não classificado,Indeterminado,Indeterminado,135514767.0,C2H2N6O4,174.08,"6-nitro-2,4-dioxido-1,2,4,5-tetrazine-2,4-diium-3-amine",,,,,,Negativo,542.2149212065649,379.5939600538436,0.7000802545403054,6.2975050449514685,0.4262633637495681,0.5320855614973262,1,0.12347283144837852,0.8765271685516215,0.0007564499484004129,0.9667676701503063,0.5895906465344065
9.02_767.4565n,CSID10307337,"M-H2O-H, M-H",C40H61N7O8,35.4,3.31,-2.21313322632582,76.243237327928,http://nonlinear.com/redirect/outbound?p=chemspider&param=10307337,Cyclo(L-alloisoleucyl-L-prolyl-L-leucyl-L-isoleucyl-L-phenylalanyl-L-seryl-L-prolyl),767.456463512842,766.449187080842,9.016,767.456463512842,766.449187080842,9.016,0.277633333333334,1,1968.83132833157,1668.08330953114,1241.58824362982,1283.31132098941,2342.73454939193,2184.67833778523,1146.51572548292,1102.68522910572,1164.86944797514,1242.1595169696,1458.37256620141,1456.83991408935,,,,,,,,,,,,,Negativo,1320.2394093384617,586.6985989444645,0.4443880365898517,7.18632552151445,0.5190922220250306,0.4411764705882353,0,0.048814830439237136,0.9511851695607628,0.03415892672858617,0.7704858876694255,0.48138284721772084
0.78_341.1028m/z,1002999,M-H,C20H14N4O2,35.1,0.0,-4.74450047654166,80.7875935969715,,"2-ethyl-5-(5-quinolin-2-yl-1,2,4-oxadiazol-3-yl)-1,3-benzoxazole",,341.102776126292,0.781816666666667,,341.102776126292,0.781816666666667,0.0778000000000001,234,460.812941577486,438.609730355136,550.811813115506,580.007965087744,425.204114914147,381.714297596972,382.220977782967,354.268205566905,435.8355102539,382.079471906557,369.718236627076,341.921630757389,Não classificado,Indeterminado,Indeterminado,,,,,,,,,,Negativo,388.93496345248167,133.2257951130763,0.3425400327357127,5.9659799648393825,0.3916387173918562,0.4331550802139038,0,0.019076857045010692,0.9809231429549893,0.0,0.8164595644905506,0.45414810150757573
0.87_112.9834m/z,CSID67038442,M-H,C2H6ClOS,33.8,0.0,0.898799103137395,70.2097140301775,http://nonlinear.com/redirect/outbound?p=chemspider&param=67038442,chlorodimethylsulfoxide,,112.983440022662,0.8739,,112.983440022662,0.8739,0.0713666666666666,1,31.7626429420334,26.1124588290549,34.8984525129199,41.7319856629034,36.4153642255404,32.8108826875671,34.8611240625698,32.4414600357121,24.8776046050922,20.9544694623669,26.0477227613487,24.0133855342868,Não classificado,Indeterminado,Indeterminado,,,,,,,,,,Negativo,34.34177809600412,24.63376440069592,0.7173118506511523,3.565065779604456,0.1408860305336932,0.39839572192513373,0,0.1285041794109591,0.8714958205890408,0.0,0.7094468243210992,0.352042048754971
0.96_243.0562m/z,267390,M-H,C13H11ClN3,32.5,0.0,-2.61540117309923,65.6151105363954,,Proflavin hydrochloride,,243.056235309506,0.95955,,243.056235309506,0.95955,0.0713666666666666,45,214.929069519056,206.326558542661,197.718338012611,218.32827880457,325.03488922117,304.182624816825,237.410917205036,243.415346674122,132.859329223648,141.706524678431,164.991446170287,175.889961242576,hydrochloride,Metabolismo secundário,Natural,197873.0,C13H12ClN3,245.71,"acridine-3,6-diamine;hydrochloride","3,6-diaminoacridine monohydrochloride is a hydrochloride resulting from the reaction of equimolar amounts of 3,6-diaminoacridine and hydrogen chloride. It has a role as an intercalator, an antibacterial agent, an antiseptic drug and a carcinogenic agent. It contains a 3,6-diaminoacridine(1+).",CHEBI:74718,"3,6-diaminoacridine monohydrochloride",hydrochloride | organic chloride salt | chloride salt | chlorine molecular entity | halogen molecular entity,,Negativo,200.4863621014642,79.20604403108584,0.3950694860281839,5.305721697217626,0.3226810113461187,0.36363636363636376,1,0.03441460963034315,0.9655853903696568,0.0,0.6629648137482773,0.4976800561814926
0.97_112.9833m/z,CSID67038442,M-H,C2H6ClOS,33.9,0.0,-0.559371434688962,70.2097140301775,http://nonlinear.com/redirect/outbound?p=chemspider&param=67038442,chlorodimethylsulfoxide,,112.983273804907,0.973816666666667,,112.983273804907,0.973816666666667,0.08565,1,40.601687440215,32.9418731863642,36.0827257100092,36.3460675190729,36.7905957146201,31.9689198513172,33.4491052785816,27.5992584228442,30.9975316779878,29.2150535881524,30.1926304697937,27.4164832348968,Não classificado,Indeterminado,Indeterminado,,,,,,,,,,Negativo,36.25421589753063,23.947738189968963,0.6605504379864442,3.617765116878568,0.1463899758635156,0.4010695187165776,0,0.11193076298878539,0.8880692370112147,0.0,0.7094468243210992,0.3564388069090415
0.97_451.2110m/z,1036054,M-H,C23H28N6O4,34.5,0.0,2.46413076522433,75.4397756084217,,"N,N-diethyl-3-oxo-4-[2-oxo-2-(4-pyrimidin-2-ylpiperazin-1-yl)ethyl]-1,4-benzoxazine-6-carboxamide",,451.211041295324,0.973816666666667,,451.211041295324,0.973816666666667,0.0570999999999999,162,16.4092684923312,20.300704956037,24.6583254780934,27.9356842041057,12.6301878690787,15.2848968505896,24.7055511474586,23.0420076847037,38.7798676180373,41.0319826602978,17.0826413631411,19.689590454102,Não classificado,Indeterminado,Indeterminado,947.0,N2,28.014,molecular nitrogen,"Dinitrogen is an elemental molecule consisting of two trivalently-bonded nitrogen atoms. It has a role as a member of food packaging gas and a food propellant. It is a gas molecular entity, an elemental molecule and a diatomic nitrogen. It is a conjugate base of a diazynium.",,,,,Negativo,52.409683338569046,115.22845802839036,2.1986100790575103,3.9779920654550365,0.18401225982091923,0.41711229946524075,1,0.5610193553426361,0.43898064465736386,0.0,0.7623575440176847,0.40962625314953527
1.91_112.9826m/z,CSID4647379,M-H2O-H,C3HF5,38.3,0.0,4.67036754525476,96.846466182426,http://nonlinear.com/redirect/outbound?p=chemspider&param=4647379,"(1Z)-1,2,3,3,3-Pentafluoro-1-propene",,112.982616367773,1.91306666666667,,112.982616367773,1.91306666666667,0.0570999999999999,3,5.90210904026533,2.75538253784141,6.01969784026935,4.08843528357549,7.40759027660628,4.32495235857617,6.32900154044913,6.25873017057538,5.83263566232322,2.43529516458609,5.34771744914046,3.63727254200282,Não classificado,Indeterminado,Indeterminado,5708673.0,C3HF5,132.03,"(Z)-1,2,3,3,3-pentafluoroprop-1-ene",,,,,,Negativo,12.516750207189343,28.963276110015595,2.3139613422483842,2.603929672430761,0.04050449137151063,0.5187165775401069,1,0.5947000625332584,0.40529993746674164,0.0,0.9789216107399974,0.42150267058190993
2.15_257.1334m/z,CSID120763,M-H,C20H18,36.0,0.0,-0.506023176050224,80.479681181744,http://nonlinear.com/redirect/outbound?p=chemspider&param=120763,"1,1,2-Triphenylethane",,257.133443942747,2.14788333333333,,257.133443942747,2.14788333333333,0.0713666666666666,22,13.4421353331792,13.738743417684,16.1908715619136,16.3850010016451,15.8378689176317,11.5970530774725,6.79195609090739,6.17079797205287,29.2850627645366,30.0035351155403,10.6586677544306,14.8398973514677,Não classificado,Indeterminado,Indeterminado,137054.0,C20H18,258.4,"1,2-diphenylethylbenzene",,,,,,Negativo,31.730208402467277,65.33239755581651,2.0589967997416747,3.4882984558153742,0.13286841256908472,0.45721925133689845,1,0.5202545310096917,0.47974546899030834,0.0,0.8133445213405862,0.4186244519592851
2.26_445.1679m/z,1001980,M-H,C25H23FN4O3,35.3,0.0,-0.571737848524855,77.2469876731504,,"4-[(4-fluorophenyl)methyl]-6-(4-pyridin-2-ylpiperazine-1-carbonyl)-1,4-benzoxazin-3-one",,445.167887308116,2.26208333333333,,445.167887308116,2.26208333333333,0.142733333333334,108,249.06659239192,282.00459021737,501.179080983743,458.407299437429,199.079734891219,198.354888916107,480.592281103304,530.151777205413,342.292303811411,369.562004387589,188.434781953228,219.846831321798,Não classificado,Indeterminado,Indeterminado,,,,,,,,,,Negativo,319.0287240901415,153.10507012876158,0.47990998479968144,5.768410754547027,0.3710044895523442,0.4385026737967914,0,0.05918666602560614,0.9408133339743938,0.0,0.780640481906391,0.43866972952956207
2.26_593.1416m/z,1047367,2M-H,C15H11N3O4,36.2,0.0,-1.68194163597109,83.2644703073808,,"2-(4-methoxyphenyl)-5-(3-nitrophenyl)-1,3,4-oxadiazole",,593.141635933346,2.26208333333333,,593.141635933346,2.26208333333333,0.0570999999999997,15,2.85102304948059,3.23179310571822,58.9091155324158,50.1502456672573,35.5110723409977,32.9307417915137,17.2140049384494,14.8095292216747,23.5153296514238,27.8992066818992,28.5007324218642,43.0992729004619,Não classificado,Indeterminado,Indeterminado,781498.0,C15H11N3O4,297.26,"2-(4-methoxyphenyl)-5-(3-nitrophenyl)-1,3,4-oxadiazole",,,,,,Negativo,66.71612761213113,152.51071267595105,2.2859647005084827,4.215324373292856,0.20879936559694628,0.4625668449197863,1,0.5865254949847256,0.4134745050152744,0.0,0.8415172674232689,0.43296197624897537
2.40_365.1404m/z,1004376,M-H2O-H,C20H21FN4O3,35.2,0.0,-3.96714039294728,80.6447280479564,,ethyl 2-[2-[2-(4-fluorophenyl)benzimidazol-1-yl]ethylcarbamoylamino]acetate,,365.140403635614,2.39696666666667,,365.140403635614,2.39696666666667,0.0999166666666667,128,28.008284438946,27.6015014648478,667.659622073272,644.681599617198,166.986574649765,187.078276634195,34.3927261791523,48.8324582577051,140.857954472319,169.655700683714,172.467206942732,259.372955203,Não classificado,Indeterminado,Indeterminado,,,,,,,,,,Negativo,208.22373077993763,215.07729334412932,1.0329144163276707,5.34340416160797,0.326616586907888,0.4358288770053478,0,0.22065503505933415,0.7793449649406659,0.0,0.81501424326342,0.40797380335865446
2.48_513.1554m/z,1052186,2M-H,C13H11N3O3,35.9,0.0,4.98570773515412,85.276870284061,,"N-(1-methyl-2-oxo-3H-indol-5-yl)-1,2-oxazole-5-carboxamide",,513.1553694716,2.48261666666667,,513.1553694716,2.48261666666667,0.0428166666666665,49,27.6443481445015,24.8714294433517,44.2189051228431,36.0711977481924,21.2447179335806,19.5169161654805,37.6648854613514,37.0212613955927,25.2966439667341,31.7774047301248,16.5919494628952,22.8758544922081,Não classificado,Indeterminado,Indeterminado,45577325.0,C13H11N3O3,257.24,"N-(1-methyl-2-oxo-3H-indol-5-yl)-1,2-oxazole-5-carboxamide",,,,,,Negativo,61.459535728937354,130.4317624781025,2.122238004747741,4.134518918733124,0.20036000322062486,0.4545454545454546,1,0.538719942217776,0.46128005778222403,0.0,0.8618760202774346,0.4394725034231959
2.55_431.1881m/z,1005043,M-H,C20H28N6O3S,35.0,0.0,2.26898036500263,77.7877462454463,,"1-[6-[2-(butan-2-ylamino)-2-oxoethyl]-7-oxo-[1,3]thiazolo[4,5-d]pyrimidin-2-yl]-N-cyclopropylpiperidine-3-carboxamide",,431.188063993956,2.55398333333333,,431.188063993956,2.55398333333333,0.191983333333333,131,2152.49844993153,2229.8242942101,1672.22138787547,1724.31018365757,885.871526496982,946.281706410126,1911.52038368122,2069.27100771618,3121.63671260845,3427.60998384256,1438.89389813969,1561.92006550733,Não classificado,Indeterminado,Indeterminado,,,,,,,,,,Negativo,1683.9715462431782,939.6959110035197,0.5580236275962709,7.4295039561413185,0.5444899002276286,0.43048128342245995,0,0.08199458904133723,0.9180054109586627,0.0,0.7861111488983998,0.4778362157199585
2.59_529.1166m/z,1016857,2M-H,C12H12ClN3O2,33.9,0.0,0.511358021261879,70.074324262207,,"N-[[3-(2-chlorophenyl)-1,2,4-oxadiazol-5-yl]methyl]propanamide",,529.11660332768,2.58896666666667,,529.11660332768,2.58896666666667,0.1349,13,105.906472277154,114.99126276908,185.5734200864,208.099529815997,86.7400449062888,101.544311523493,190.962470549094,229.734041333134,111.176202695051,152.901226306157,65.3757934569919,88.3228453993694,Não classificado,Indeterminado,Indeterminado,947.0,N2,28.014,molecular nitrogen,"Dinitrogen is an elemental molecule consisting of two trivalently-bonded nitrogen atoms. It has a role as a member of food packaging gas and a food propellant. It is a gas molecular entity, an elemental molecule and a diatomic nitrogen. It is a conjugate base of a diazynium.",,,,,Negativo,155.21665650803976,123.95890948689402,0.7986186036707557,5.051243867495298,0.2961032186281902,0.4010695187165776,1,0.15224443907800844,0.8477555609219916,0.0,0.7080771329789033,0.4876146124854973
2.65_403.1584m/z,1000473,M-H,C23H24N4OS,33.8,0.0,-3.56074554386419,73.0692168781293,,"N-[3-(N-ethylanilino)propyl]-3-pyrrol-1-ylthieno[2,3-b]pyridine-2-carboxamide",,403.158366840302,2.64606666666667,,403.158366840302,2.64606666666667,0.0999166666666667,114,37.5070844082299,42.5690315424718,105.218584285301,113.46700960206,68.7060208259066,79.7577461645819,75.793580054934,84.5949280130952,127.819321338494,155.647230148345,53.7450838603184,72.0766233007217,Não classificado,Indeterminado,Indeterminado,947.0,N2,28.014,molecular nitrogen,"Dinitrogen is an elemental molecule consisting of two trivalently-bonded nitrogen atoms. It has a role as a member of food packaging gas and a food propellant. It is a gas molecular entity, an elemental molecule and a diatomic nitrogen. It is a conjugate base of a diazynium.",,,,,Negativo,101.62190550367346,95.17607986561846,0.9365705100085729,4.631051413882387,0.2522181071198622,0.39839572192513373,1,0.19252416931437194,0.807475830685628,0.0,0.7383754232287929,0.47461135925215536
2.65_559.1252m/z,1043397,2M-H,C16H12N2OS,36.4,0.0,-2.93057025366072,85.4643405855578,,"(2-amino-4-phenyl-1,3-thiazol-5-yl)-phenylmethanone",,559.125150083762,2.64606666666667,,559.125150083762,2.64606666666667,0.177733333333333,110,3877.68209944954,4196.69244070506,3349.36670906309,3725.87037785232,1664.67073860511,1963.4321614373,4228.65673502483,4574.33608380423,3822.42361976461,4354.42235212086,2668.18873068822,3019.91046916682,Não classificado,Indeterminado,Indeterminado,774758.0,C16H12N2OS,280.3,"(2-amino-4-phenyl-1,3-thiazol-5-yl)-phenylmethanone",,,,,,Negativo,3000.530266745173,1448.0858593145724,0.4826099824300004,8.006877526514177,0.6047910867432635,0.4679144385026738,1,0.0599750217582319,0.9400249782417681,0.0,0.8637725923207147,0.6153502949707229
2.66_627.1116m/z,1045123,2M-H,C13H10N6O2S,36.4,0.0,2.6720559566467,85.4153373357385,,"N-(4,6-dihydrothieno[3,4-c][1,2]oxazol-3-yl)-3-(tetrazol-1-yl)benzamide",,627.111591109517,2.66033333333333,,627.111591109517,2.66033333333333,0.142733333333333,23,2505.25046854931,2721.88892993261,1978.76061234552,2205.06777948104,1070.28214219265,1184.38339806342,2602.29935557042,2681.53346064407,2248.12742421613,2508.35751938868,1715.38107691681,1874.24929501211,Não classificado,Indeterminado,Indeterminado,2734059.0,C10H17ClN4O3,276.72,"4-(4,6-dimethoxy-1,3,5-triazin-2-yl)-4-methylmorpholin-4-ium chloride",,,,,,Negativo,1851.8109561968301,839.382917289434,0.45327678534385746,7.524459200679861,0.5544070737966554,0.4679144385026738,1,0.05141020161934541,0.9485897983806546,0.0,0.8632768434319834,0.6039646524215944
2.72_431.1892m/z,1000241,M-H,C25H28N4OS,33.7,0.0,-4.49278198664233,73.7554065429772,,N-[(4-methylphenyl)methyl]-1-[3-(4-methylphenyl)sulfanylpyrazin-2-yl]piperidine-3-carboxamide,,431.189164331612,2.71743333333333,,431.189164331612,2.71743333333333,0.12845,145,304.057730563498,362.17518529444,254.668396472894,249.306732935231,109.729309529086,120.338028750626,290.54309280262,307.682459312602,441.786117553619,492.431225061492,180.670851395059,223.408873847355,Não classificado,Indeterminado,Indeterminado,947.0,N2,28.014,molecular nitrogen,"Dinitrogen is an elemental molecule consisting of two trivalently-bonded nitrogen atoms. It has a role as a member of food packaging gas and a food propellant. It is a gas molecular entity, an elemental molecule and a diatomic nitrogen. It is a conjugate base of a diazynium.",,,,,Negativo,269.3360429416762,137.78443160829974,0.5115707133119813,5.59966578860919,0.3533806803121313,0.39572192513369,1,0.068431087776758,0.931568912223242,0.0,0.7453173661624074,0.5190224968626181
2.72_499.1791m/z,132143,M-H2O-H,C19H30N6O11,35.3,0.0,-0.610654027866596,77.4386428576917,,Glu Asn Gln Glu,,499.179098246819,2.71743333333333,,499.179098246819,2.71743333333333,0.0428166666666665,132,34.8545069694529,32.8675999641422,19.460643341774,18.2412719726575,12.1463317871119,9.5548859238618,18.7998959422161,24.5116575956461,26.229430566714,35.1847382784055,10.1529485728066,18.1756896972681,Peptídeo (tetrapeptídeo),Aminoácidos,Natural,,,,,,,,,,Negativo,54.43400944230064,128.3814470131763,2.358478611597755,4.015193294250751,0.1878975748947847,0.4385026737967914,0,0.6076983867163337,0.3923016132836663,0.0,0.782579390960511,0.310907079119681
2.75_529.1169m/z,1016857,2M-H,C12H12ClN3O2,32.8,0.0,1.06933157079715,65.4819084489951,,"N-[[3-(2-chlorophenyl)-1,2,4-oxadiazol-5-yl]methyl]propanamide",,529.116899122631,2.74598333333333,,529.116899122631,2.74598333333333,0.0428166666666665,12,22.6239929199389,29.8105163574446,27.0582604316791,36.3011355317628,13.1730219884382,18.4308399486598,45.1383495373758,48.627563476557,13.9756679408138,24.8967953540282,16.0363769531464,14.5230474050415,Não classificado,Indeterminado,Indeterminado,947.0,N2,28.014,molecular nitrogen,"Dinitrogen is an elemental molecule consisting of two trivalently-bonded nitrogen atoms. It has a role as a member of food packaging gas and a food propellant. It is a gas molecular entity, an elemental molecule and a diatomic nitrogen. It is a conjugate base of a diazynium.",,,,,Negativo,60.17560359291789,135.56883302916955,2.252886966390558,4.113748475939936,0.19819072771313057,0.37165775401069523,1,0.5768673304658717,0.4231326695341283,0.0,0.6616172544119294,0.38659172132233033
